,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
57,-0.802,@CBS,0.638,0.285,0.077,Please explain why Trump having sex w/ Stormy Daniels 7 years ago is a big deal? He didn’t rape or assault her like… https://t.co/LvBUl1VlRS,158
58,0.4404,@CBS,0.861,0.0,0.139,The numbers are in and 1.24 million people tuned in to the @NCAADII Men’s Basketball National Championship between… https://t.co/lhUEvEggVd,159
59,-0.4215,@CBS,0.903,0.097,0.0,"RT @Bkcharlie: .@msnbc @cnn @abc @cbs @nbc 
Why do you let Sara Sanders get away with her daily lies? Have some balls and call her out. Fac…",160
60,0.0,@CBS,1.0,0.0,0.0,wow....c'mon now.@ASavageNation @billoreilly @seanhannity @billoreilly @I_AmAmerica @Arightside @judgejeanine… https://t.co/QdY9iS2WSC,161
61,0.7184,@CBS,0.778,0.0,0.222,"RT @Larroquettishes: Yes, we are, and I still encourage everyone to contact @cbs about it, too. They way they treated the show, and consequ…",162
62,0.8016,@CBS,0.699,0.0,0.301,"RT @HighSchoolSlam: Your @amfam #Dreamfearlessly Fan Vote winners are ready to take the court!

Check out Casey Tuttle, Lexy Lake and Manny…",163
63,-0.4215,@CBS,0.891,0.109,0.0,".@msnbc @cnn @abc @cbs @nbc 
Why do you let Sara Sanders get away with her daily lies? Have some balls and call her… https://t.co/oIuyilYjdX",164
64,0.0,@CBS,1.0,0.0,0.0,RT @Brian_Tourville: @CBS @CBSWashDC @CBSNewYork @CBSNews @CBSRadioSF @CBSRadioBoston @CBSNewsRadio @CBSNewsPress @CBSNewsEnt @cbsnewspath…,165
65,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/4C9BzBk7X0,166
66,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/UIMrFwrBut,167
67,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/mITsgZA9VC,168
68,0.0,@CBS,1.0,0.0,0.0,@GmanFan45 @CBS don't tell me its BS! he's the one that told the CBS reporter he wasn't there so don't jump on me b… https://t.co/UOBxcoJyu3,169
69,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/NirSOepjak,170
70,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/LK29P5kzDs,171
71,0.0,@CBS,1.0,0.0,0.0,@scjason9789 @RiskyLiberal @Carolinamidwife @Fedup39079284 @erincowgill @dbredesen @RealCandaceO @CNN @CBS I know w… https://t.co/og3VPDm3Q0,172
72,0.0,@CBS,1.0,0.0,0.0,RT @Brian_Tourville: @whpresscorps @ABC @CBS @NBC @MSNBC @CNN @PBS @NPR @SPECNEWSHV @CTLizB @CBS6Albany @NYSENATE @NY1 @DNC @DSCC @DCCC @To…,173
73,0.5106,@CBS,0.809,0.0,0.191,RT @Brian_Tourville: @FBI @CIA @CIA_LANGLEY @justiceOIG @jeffsessions @OfficeGovEthics Entrenched Corruption With A Cheer Leading Squad @ab…,174
74,0.0,@CBS,1.0,0.0,0.0,RT @Brian_Tourville: @whpresscorps @ABC @CBS @NBC @MSNBC @CNN @PBS @NPR @SPECNEWSHV @CTLizB @CBS6Albany @NYSENATE @NY1 @DNC @DSCC @DCCC @To…,175
75,-0.4574,@CBS,0.88,0.12,0.0,"RT @carold501: Mike Cernovich: ""Comey &amp; Mueller Knew"" About Pulse Massacre, ""The Media Is Ignoring It, This Is The Biggest Story Today!"" ht…",176
76,0.0,@CBS,1.0,0.0,0.0,RT @micheItremer: @SoCalMom43 @britneyspears @LarryRudolph @FeliciaCulotta @shoshannastone @LouMTaylor @Maverick @RCARecords @kenzo @billbo…,177
77,0.5106,@CBS,0.809,0.0,0.191,RT @Brian_Tourville: @FBI @CIA @CIA_LANGLEY @justiceOIG @jeffsessions @OfficeGovEthics Entrenched Corruption With A Cheer Leading Squad @ab…,178
78,0.5106,@CBS,0.809,0.0,0.191,RT @Brian_Tourville: @FBI @CIA @CIA_LANGLEY @justiceOIG @jeffsessions @OfficeGovEthics Entrenched Corruption With A Cheer Leading Squad @ab…,179
79,0.8016,@CBS,0.699,0.0,0.301,"RT @HighSchoolSlam: Your @amfam #Dreamfearlessly Fan Vote winners are ready to take the court!

Check out Casey Tuttle, Lexy Lake and Manny…",180
80,0.5106,@CBS,0.809,0.0,0.191,RT @Brian_Tourville: @FBI @CIA @CIA_LANGLEY @justiceOIG @jeffsessions @OfficeGovEthics Entrenched Corruption With A Cheer Leading Squad @ab…,181
81,-0.7845,@CBS,0.761,0.239,0.0,"RT @MountaineerFan4: Even CBS knew Rather was a habitual liar, and fired him. But now, since @CBS is part and parcel of the Progressive Soc…",182
82,0.0,@CBS,1.0,0.0,0.0,RT @CharMac50: @SassyKadiK @PressSec Or at least call her out. You're  not getting any real access or your questions answered.  @CNN @ABC @…,183
83,0.3818,@CBS,0.714,0.096,0.189,RT @CBS: Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd #ACMawards. Tune…,184
84,0.0,@CBS,1.0,0.0,0.0,@Shazamseventy6 @RiskyLiberal @Carolinamidwife @Fedup39079284 @erincowgill @dbredesen @RealCandaceO @CNN @CBS Oh yo… https://t.co/bcxoKFIEeK,185
85,0.0,@CBS,1.0,0.0,0.0,"RT @ProfElvanAktas: “Kanlı Tiyatro""
""Deadly Theater""
@cnni @bbc @AP @Reuters @dwnews @FoxNews @ABC @NBCNews @CBS @hrw @ariannahuff @OSCE_RF…",186
86,-0.4912,@CBS,0.715,0.285,0.0,"Let's @nbc and @cbs fight!
#FakeNews

 https://t.co/JH9IdCxdeN!

#MAGA @cspanwj",187
87,0.4084,@CBS,0.846,0.0,0.154,RT @Brian_Tourville: @TomPerez @dnc @dscc @dccc @thedemocrats COMPREHENSIVE CAMPAIGN FINANCE REFORM - FIREWALL USA ELECTED FROM STRUCTURED…,188
88,0.0,@CBS,1.0,0.0,0.0,RT @Brian_Tourville: @CBSNEWS @NBCNEWS @CBS @NBC @MSNBC @PBS @NPR @srhule @AliVelshi @CNNI @business @MikeBloomberg @JOENBC @WHPRESSCORPS @…,189
89,0.4084,@CBS,0.837,0.0,0.163,RT @Brian_Tourville: @TomPerez @dnc @dscc @dccc @thedemocrats  COMPREHENSIVE CAMPAIGN FINANCE REFORM_FIREWALL USA ELECTED FROM  STRUCTURED…,190
90,0.0,@CBS,1.0,0.0,0.0,"sex by #DNC 💩is #RAPE just ask @billclinton

sex by #RNC is #consensual just ask #MSM (they cannot find #RAPE)… https://t.co/9s2NU4rddY",191
91,0.0,@CBS,1.0,0.0,0.0,@BuySellmadeinUS @TheDemocrats @TomPerez @NancyPelosi @SenSchumer @SenSanders @realDonaldTrump @POTUS @GOP @nytimes… https://t.co/FTIesiMzA5,192
92,0.34,@CBS,0.897,0.0,0.103,RT @VIKOR74: A series on lexa would  have a lot of TV ratings I think anyone  understood the value of the  character #warnerbrostv @CBS @al…,193
93,0.0,@CBS,1.0,0.0,0.0,"“Kanlı Tiyatro""
""Deadly Theater""
@cnni @bbc @AP @Reuters @dwnews @FoxNews @ABC @NBCNews @CBS @hrw @ariannahuff… https://t.co/QaTRH8bC07",194
94,0.0,@CBS,1.0,0.0,0.0,RT @Brian_Tourville: @BobSMueller @jeffsessions @WHPRESSCORPS @ABC @CBS @NBC @cnbc @FBI @JusticeOIG @nysenate @justicekagan @JusticeRoberts…,195
95,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",196
96,0.0,@CBS,1.0,0.0,0.0,RT @Brian_Tourville: @abc @cbs @nbc @msnbc @pbs @npr @cspanwj @cnn @SPECNewsHV @ny1 @nysenate @DemocraticAGs @AGSchneiderman @FBI @BobSMuel…,197
97,0.3818,@CBS,0.714,0.096,0.189,RT @CBS: Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd #ACMawards. Tune…,198
98,0.0,@CBS,1.0,0.0,0.0,"RT @StupidBoomers: @ggreenwald HEY
@ABC
@NBC
@CBS
@CNN
@VICE
@NYTIMES

How about a little Professional Investigative JOURNALISM 

THIS IS A…",199
99,0.0,@CBS,1.0,0.0,0.0,"RT @FreakFlagFlyin: @StupidBoomers @ggreenwald @ABC @nbc @CBS @CNN @VICE @nytimes It's not ""Democrats"". MSM &amp; the DNC back Neoliberals, a t…",200
